total.voter,total.vote,valid.vote,opened.ballot,total.ballot,EVET.vote,EVET.ratio,HAYIR.vote,HAYIR.ratio,district.LAU,voter.count.Haziran,voted.count.Haziran,unchallenged.valid.vote.count.Haziran,challenged.valid.vote.count.Haziran,total.valid.vote.count.Haziran,invalid.vote.count.Haziran,AKP.Haziran,CHP.Haziran,HDP.Haziran,MHP.Haziran,voter.count.Kasim,voted.count.Kasim,unchallenged.valid.vote.count.Kasim,challenged.valid.vote.count.Kasim,total.valid.vote.count.Kasim,invalid.vote.count.Kasim,AKP.Kasim,CHP.Kasim,HDP.Kasim,MHP.Kasim,AKP.2018meclis,MHP.2018meclis,CHP.2018meclis,IYI.2018meclis,SP.2018meclis,HDP.2018meclis,VP.2018meclis,HUDAPAR.2018meclis,BGMSZ.2018meclis,voter.count.2018meclis,voted.count.2018meclis,total.valid.vote.count.2018meclis,invalid.vote.count.2018meclis,INCE.2018cb,AKSENER.2018cb,ERDOGAN.2018cb,DEMIRTAS.2018cb,KARAMOLLAOGLU.2018cb,PERINCEK.2018cb,voter.count.2018cb,voted.count.2018cb,total.valid.vote.count.2018cb,invalid.vote.count.2018cb,province.name,province.name.ascii,province.HASC,province.iso3166.2,province.iso3166.2.character,province.NUTS3,province.FIPS,province.population.2007,province.area.km2,region.code,district.name,district.name.ascii,district.name.ascii.normalized
12071,10624,10083,47,47,6487,6434,3596,3566,1757,12399,10956,10655,0,10655,301,5337,1225,54,3566,12478,11129,10930,0,10930,199,6232,1302,38,3024,5165,1885,1562,1603,136,63,44,45,4,12018,10829,10507,322,2027,1756,6466,51,109,34,12018,10830,10443,387,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,aladağ,aladag,aladag
110623,95399,93842,330,330,36577,3898,57265,6102,1219,108965,92781,91081,59,91140,1641,23590,23568,16577,24828,109183,93413,91824,329,92153,1260,30545,25540,14147,20127,29006,13548,21509,12237,834,15163,194,660,42,110714,95135,93193,1942,29927,10566,39195,12563,572,190,110714,95155,93013,2142,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,ceyhan,ceyhan,ceyhan
263334,234248,231421,664,664,70480,3046,160941,6954,2033,256138,222105,219068,0,219068,3037,50710,89376,15962,56490,259205,226800,225001,103,225104,1696,63175,97189,12051,48489,57455,24081,89864,40446,2938,19182,447,354,109,266788,237226,234876,2350,122728,26976,75999,6397,1855,431,266788,237207,234386,2821,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,çukurova,cukurova,cukurova
12479,10260,9998,58,58,6173,6174,3825,3826,1329,12874,10350,10040,0,10040,310,4720,1538,67,3162,12684,10473,10229,0,10229,244,5594,1549,28,2615,5907,1651,1335,1459,129,44,43,57,7,12564,10987,10632,355,1745,1671,6998,37,105,45,12564,10989,10601,388,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,feke,feke,feke
20269,17551,17200,62,62,10085,5863,7115,4137,1806,20149,16897,16437,0,16437,460,7547,3643,389,4197,20052,17290,16968,0,16968,322,9008,3092,285,4143,8183,2497,2724,2373,228,389,33,37,3,20256,16948,16467,481,3579,2208,10168,248,180,28,20256,16950,16411,539,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,imamoğlu,imamoglu,imamoglu
15749,14131,13871,77,77,9365,6751,4506,3249,1437,15942,14366,14053,0,14053,313,7773,1313,87,4349,15825,14403,14198,0,14198,205,8483,1340,57,3942,7985,2465,1296,2045,188,91,25,46,2,16041,14537,14143,394,1934,2140,9871,42,138,21,16041,14538,14146,392,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,karaisalı,karaisali,karaisali
15563,13747,13568,66,66,4367,3219,9201,6781,1443,15562,13529,13300,1,13301,228,3091,5552,863,3521,15615,13498,13302,0,13302,196,3623,5342,633,3494,3525,1939,5258,1512,105,1569,24,31,0,16151,14185,13963,222,6761,1381,5151,566,44,14,16151,14183,13917,266,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,karataş,karatas,karatas
91710,78399,76945,279,279,43151,5608,33794,4392,1486,89987,73975,72184,42,72226,1749,31022,14945,900,22185,89931,76041,74840,0,74840,1201,37552,13629,445,21059,36780,12208,11230,14124,1044,924,208,246,19,92315,78781,76783,1998,16664,12122,46697,401,656,156,92315,78799,76696,2103,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,kozan,kozan,kozan
14258,12366,12139,46,46,7050,5808,5089,4192,1580,14517,12704,12401,5,12406,298,5644,2636,199,3366,14471,12730,12508,0,12508,222,6606,2554,108,2870,5915,2042,2696,1716,213,233,28,30,4,14503,13181,12877,304,3415,1563,7524,121,170,35,14503,13186,12828,358,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,pozantı,pozanti,pozanti
11039,8788,8592,44,44,5766,6711,2826,3289,1588,11410,8938,8695,0,8695,243,4205,1031,48,3028,11296,9082,8872,0,8872,210,4848,979,31,2736,4510,2145,927,873,80,69,43,36,5,10942,8996,8688,308,1249,968,6316,30,69,33,10942,9007,8665,342,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,saimbeyli,saimbeyli,saimbeyli
101783,88974,87485,284,284,48749,5572,38736,4428,2032,92082,79212,77436,0,77436,1776,28610,12711,3298,30289,93345,82065,81044,0,81044,1021,36652,13044,2680,26951,38123,20302,14107,13983,863,4109,112,265,19,106808,93526,91883,1643,20271,13173,54468,2806,663,143,106808,93486,91524,1962,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,sarıçam,saricam,saricam
543589,465928,458692,1382,1382,168063,3664,290629,6336,1104,529658,449743,441306,78,441384,8359,113966,138646,94887,79714,533042,454596,449075,137,449212,5384,145027,147957,82431,65480,139209,41464,132058,44201,4642,92770,845,2445,140,544445,466052,457774,8278,176940,32055,175200,68403,3480,768,544445,466068,456846,9222,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,seyhan,seyhan,seyhan
12617,10141,9886,57,57,5885,5953,4001,4047,1687,13067,10679,10385,0,10385,294,3673,1969,105,4048,13042,10601,10370,0,10370,231,4910,2041,63,3000,4716,2557,2090,1021,168,156,33,64,4,12755,11152,10809,343,2559,1113,6906,45,99,32,12755,11157,10754,403,adana,adana,TR.AA,1,01,TR621,TU81,2006650,12788,MD,tufanbeyli,tufanbeyli,tufanbeyli
